review_id,hotel_id,user_id,review_text,overall_rating,review_date,reviewer_type,sentiment_score,cleanliness_rating,service_rating,location_rating,value_rating,positive_keywords,negative_keywords,cultural_mentions,review_length_category,language
1,208,184,Comfortable solo stay with good WiFi. Peaceful atmosphere. Understanding of Indian culture,3.9,2023-07-20,Solo,0.45,4.0,4.0,3.9,3.4,"[""comfortable"", ""good""]",[],"[""Understanding of Indian culture""]",Short,en
2,342,4,Excellent business facilities and restaurant. Professional service throughout. Excellent Indian breakfast,3.8,2023-08-31,Business,0.4,4.0,4.2,4.0,4.0,"[""excellent""]",[],"[""Excellent Indian breakfast""]",Medium,en
3,126,8,Perfect for business travel with great AC. Location is convenient. Well-maintained property,4.1,2023-10-23,Business,0.55,4.1,3.7,4.1,3.9,"[""great"", ""perfect""]",[],"[""Well-maintained property""]",Short,en
4,181,111,Excellent business facilities and restaurant. Professional service throughout. Understanding of Indian culture,3.5,2023-12-05,Business,0.25,3.1,3.8,3.7,3.0,"[""excellent""]",[],"[""Understanding of Indian culture""]",Medium,en
5,139,183,Comfortable solo stay with good WiFi. Peaceful atmosphere. Great vegetarian options,3.9,2023-03-15,Solo,0.45,3.8,4.4,3.7,4.0,"[""great"", ""comfortable"", ""good""]",[],"[""Great vegetarian options""]",Short,en
6,300,111,Comfortable solo stay with good AC. Peaceful atmosphere. Understanding of Indian culture,3.9,2023-02-11,Solo,0.45,4.3,3.9,3.7,3.8,"[""comfortable"", ""good""]",[],"[""Understanding of Indian culture""]",Short,en
7,182,122,Family-friendly staff and excellent AC. Will return with family. Great vegetarian options,5.0,2023-05-08,Family,1.0,5.0,4.9,5.0,4.8,"[""great"", ""excellent""]",[],"[""Great vegetarian options""]",Short,en
8,211,108,Perfect for business travel with great AC. Location is convenient. Friendly staff,4.0,2023-08-25,Business,0.5,4.1,3.6,4.1,3.6,"[""great"", ""perfect""]",[],"[""Friendly staff""]",Short,en
9,266,196,Disappointing solo stay with broken restaurant. Will not return. Staff not helpful,3.3,2023-08-24,Solo,0.15,3.0,3.5,3.2,3.1,[],"[""disappointing""]","[""Staff not helpful""]",Short,en
10,139,15,Overpriced for solo travel - WiFi not functional. Poor service. No vegetarian restaurant,3.0,2023-11-29,Solo,0.0,3.0,3.3,3.1,3.2,[],"[""poor"", ""overpriced""]","[""No vegetarian restaurant""]",Short,en
11,200,135,Perfect for business travel with great pool. Location is convenient. Friendly staff,3.8,2023-09-20,Business,0.4,4.2,3.8,3.8,4.0,"[""great"", ""perfect""]",[],"[""Friendly staff""]",Short,en
12,181,39,Overpriced for solo travel - AC not functional. Poor service. Not suitable for Indian families,3.4,2023-12-02,Solo,0.2,3.8,3.6,3.7,2.8,[],"[""poor"", ""overpriced""]","[""Not suitable for Indian families""]",Short,en
13,82,188,Uncomfortable for solo traveler - room service was poor. Lonely experience. Staff not helpful,3.2,2023-04-29,Solo,0.1,2.8,3.3,3.3,3.0,"[""comfortable""]","[""poor""]","[""Staff not helpful""]",Short,en
14,348,128,Uncomfortable for solo traveler - gym was poor. Lonely experience. Overpriced for Indian standards,3.3,2023-09-01,Solo,0.15,3.7,2.9,3.1,2.9,"[""comfortable""]","[""poor"", ""overpriced""]","[""Overpriced for Indian standards""]",Short,en
15,314,16,Family-friendly staff and excellent WiFi. Will return with family. Excellent Indian breakfast,4.5,2023-05-09,Family,0.75,4.9,4.9,4.6,3.9,"[""excellent""]",[],"[""Excellent Indian breakfast""]",Short,en
16,348,113,Family vacation ruined by poor room service and unhelpful staff. Overpriced for Indian standards,3.2,2023-05-27,Family,0.1,3.4,3.4,3.3,2.6,[],"[""poor"", ""overpriced""]","[""Overpriced for Indian standards""]",Short,en
17,223,42,Comfortable solo stay with good AC. Peaceful atmosphere. Excellent Indian breakfast,4.3,2023-09-28,Solo,0.65,4.7,4.5,4.1,3.7,"[""excellent"", ""comfortable"", ""good""]",[],"[""Excellent Indian breakfast""]",Short,en
18,299,23,Perfect for solo travelers with reliable AC. Great value. Well-maintained property,3.5,2023-01-13,Solo,0.25,3.9,3.1,3.7,3.0,"[""great"", ""perfect""]",[],"[""Well-maintained property""]",Short,en
19,105,25,Comfortable solo stay with good spa. Peaceful atmosphere. Excellent Indian breakfast,4.2,2023-01-18,Solo,0.6,4.5,4.2,4.2,4.4,"[""excellent"", ""comfortable"", ""good""]",[],"[""Excellent Indian breakfast""]",Short,en
20,293,54,Great for families - WiFi was perfect. Safe and comfortable environment. Comfortable for Indian families,5.0,2023-08-31,Family,1.0,4.5,5.0,4.7,5.0,"[""great"", ""perfect"", ""comfortable""]",[],"[""Comfortable for Indian families""]",Medium,en
21,265,33,Overpriced for solo travel - restaurant not functional. Poor service. Overpriced for Indian standards,3.2,2023-06-02,Solo,0.1,3.2,3.1,3.3,3.1,[],"[""poor"", ""overpriced""]","[""Overpriced for Indian standards""]",Medium,en
22,35,92,Excellent business facilities and gym. Professional service throughout. Understanding of Indian culture,4.8,2023-03-22,Business,0.9,4.3,4.5,4.9,4.5,"[""excellent""]",[],"[""Understanding of Indian culture""]",Medium,en
23,57,229,Perfect for solo travelers with reliable AC. Great value. Staff spoke Hindi,4.3,2023-10-26,Solo,0.65,4.2,4.4,4.5,3.8,"[""great"", ""perfect""]",[],"[""Staff spoke Hindi""]",Short,en
24,376,141,Comfortable solo stay with good room service. Peaceful atmosphere. Friendly staff,4.6,2023-06-18,Solo,0.8,5.0,4.1,4.4,4.9,"[""comfortable"", ""good""]",[],"[""Friendly staff""]",Short,en
25,10,189,Uncomfortable for solo traveler - pool was poor. Lonely experience. Not suitable for Indian families,3.3,2023-10-10,Solo,0.15,3.2,3.0,3.3,3.4,"[""comfortable""]","[""poor""]","[""Not suitable for Indian families""]",Medium,en
26,316,230,Disappointing for business travel - restaurant was inadequate. Location inconvenient. Language barrier,2.9,2023-07-08,Business,-0.05,2.4,2.5,2.8,3.1,[],"[""disappointing""]","[""Language barrier""]",Medium,en
27,180,81,Great for families - spa was perfect. Safe and comfortable environment. Clean and hygienic,3.7,2023-11-05,Family,0.35,4.1,3.2,3.5,3.4,"[""great"", ""perfect"", ""comfortable""]",[],"[""Clean and hygienic""]",Short,en
28,67,75,Productive stay with reliable pool. Staff understood business needs. Staff spoke Hindi,4.5,2023-11-07,Business,0.75,4.8,4.4,4.2,4.4,[],[],"[""Staff spoke Hindi""]",Short,en
29,164,69,Family-friendly staff and excellent room service. Will return with family. Comfortable for Indian families,3.8,2023-12-24,Family,0.4,3.7,3.7,4.1,3.8,"[""excellent"", ""comfortable""]",[],"[""Comfortable for Indian families""]",Medium,en
30,267,216,Enjoyable solo trip with excellent WiFi. Staff was very accommodating. Excellent Indian breakfast,4.6,2023-04-29,Solo,0.8,4.7,4.4,4.5,4.5,"[""excellent""]",[],"[""Excellent Indian breakfast""]",Short,en
31,63,54,Excellent business facilities and WiFi. Professional service throughout. Well-maintained property,4.4,2023-07-10,Business,0.7,4.7,4.3,4.4,4.5,"[""excellent""]",[],"[""Well-maintained property""]",Short,en
32,19,37,Excellent business facilities and AC. Professional service throughout. Comfortable for Indian families,4.2,2023-05-01,Business,0.6,3.9,4.1,4.0,4.3,"[""excellent"", ""comfortable""]",[],"[""Comfortable for Indian families""]",Medium,en
33,44,248,Family-friendly staff and excellent AC. Will return with family. Friendly staff,4.0,2023-01-31,Family,0.5,3.8,3.7,4.1,4.2,"[""excellent""]",[],"[""Friendly staff""]",Short,en
34,274,241,Disappointing solo stay with broken gym. Will not return. No vegetarian restaurant,3.2,2023-08-26,Solo,0.1,3.2,3.7,3.5,3.1,[],"[""disappointing""]","[""No vegetarian restaurant""]",Short,en
35,394,146,Comfortable solo stay with good gym. Peaceful atmosphere. Clean and hygienic,4.1,2023-09-23,Solo,0.55,3.8,3.9,4.3,3.5,"[""comfortable"", ""good""]",[],"[""Clean and hygienic""]",Short,en
36,382,120,Overpriced for solo travel - WiFi not functional. Poor service. No Indian food options,3.3,2023-05-02,Solo,0.15,3.0,3.1,3.1,2.7,[],"[""poor"", ""overpriced""]","[""No Indian food options""]",Short,en
37,184,248,Not suitable for families - AC was broken. Safety concerns. Staff not helpful,3.3,2023-09-03,Family,0.15,3.5,3.2,3.1,2.8,[],[],"[""Staff not helpful""]",Short,en
