hotel_id,place_id,display_name,formatted_address
jai001,ChIJAQAAAJS2bTkRWUWQ2VmlhSA,Hotel Rajasthan Palace,"Rajasthan Palace Hotel, 3, Peelwa Garden, Moti Doongari Road, Anand Puri, Bees Dukan, Adarsh Nagar, Jaipur, Rajasthan 302004, India"
jai002,ChIJX2_Rbgu0bTkR-wPc1ueFLpA,"Jai Mahal Palace, Jaipur","Gound Floor, Jacob Rd, near Bharat Petroleum, Civil Lines, Jaipur, Rajasthan 302006, India"
jai003,ChIJ-b0CTxO0bTkRDLjMSGGz5_Y,Ginger Jaipur,"Mangalam GeejGarh House, Hawa Sadak, Sudarshanpura, Civil Lines, Jaipur, Rajasthan 302006, India"
jai004,ChIJQfQ-_bK2bTkRZjSwp4vttPk,Jaipur Hotel New - A heritage hotel,"7, Chaura Rasta Rd, opposite GOLCHA CINEMA, Nehru Bazar, Film Colony, Modikhana, Jaipur, Rajasthan 302003, India"
jai005,ChIJrayiYVizbTkRNxKLOs7XAso,Hotel Maru Casa Jaipur | Budget 3 Star Hotels in Jaipur City Centre,"Sansar Chandra Rd, near Polo Victory, behind Man Singh Hotel, Sindhi Camp, Jaipur, Rajasthan 302001, India"
jai006,ChIJV2013gm0bTkRRCUYohwps7I,"HOTEL ABHINEET PALACE, FAMILY HOTEL NEAR JAIPUR RAILWAY STATION","Fateh Singh Market, Railway station, B-9, behind Kalpana Bus Agency, opp. Exit gate 3, Gopalbari, Jaipur, Rajasthan 302006, India"
jai007,ChIJ5WlPPwm0bTkRHRLayfAgpis,Luxsugero Jaipur,"WQ7R+F99, Ajmer Rd, Gopalbari, Jaipur, Rajasthan 302019, India"
jai008,ChIJpbW77wy0bTkR88adhFeXxD4,"Hotel Shahar Palace - Best Budget Hotels in Civil Lines, Jaipur","Barwara House Colony, Ajmer Rd, Madrampur, Civil Lines, Jaipur, Rajasthan 302006, India"
jai009,ChIJmdOcate3bTkRYLfD_DoFOtA,Rosé Amer,"7, Sawai Pratapsingh Rd, Madrampur, Civil Lines, Jaipur, Rajasthan 302006, India"
jai010,ChIJP8-cJPi0bTkRqivQpmXCs6g,Renest Jaipur,"Gopalpura Bypass Rd, near Ganga Jamuna Petrol Pump, New Aatish Market, Shanthi Nagar, Mansarovar, Jaipur, Rajasthan 302020, India"
jai011,ChIJ922iwRS0bTkRdOphwwLdqcQ,RANI MAHAL,"Plot No: 24, Lane Number 3, Hawa Sadak, Nandpuri Colony, Bais Godam, Jaipur, Rajasthan 302006, India"
jai012,ChIJheAS8fezbTkRsJzHAXq_4CA,Radisson Hotel Jaipur City Center,"Khasa Kothi Circle, Mirza Ismail Rd, Gopalbari, Jaipur, Rajasthan 302001, India"
jai013,ChIJVVVVFQ-0bTkRU7L0SnU1rRo,"The Sunder Palace, A Luxury Boutique Hotel.","Near Ajmer Road, Plot No. 46, Sanjay Marg, Gopalbari, Jaipur, Rajasthan 302001, India"
jai014,ChIJdQ_9-WizbTkR6TxNflQiRsM,Hotel Pulse Inn Jaipur,"Exit No-1, A14, opposite Railway Station, Sen Colony, Gopalbari, Jaipur, Rajasthan 302006, India"
jai015,ChIJDVLPcwC0bTkRurw0zLGu6Ag,Jai Niwas Hotel,"3, Jalupura Scheme, Gopinath Marg, Mirza Ismail Rd, Jalupura, Jaipur, Rajasthan 302001, India"
jai016,ChIJg_FmfEa1bTkRM2PbM5R-f7Q,The Royal Hermitage - Best Luxury Hotel Jaipur,"Main Building, Barwara House, 5, Jacob Rd, beside IndusInd Bank, Madrampur, Civil Lines, Jaipur, Rajasthan 302006, India"
jai017,ChIJKTkkrd2zbTkRSVn56RVd6eY,Hotel Rimé Vista,"D-249, Devi Marg, Sen Colony, Bani Park, Jaipur, Rajasthan 302016, India"
jai018,ChIJXz2K1Qm0bTkR9EbcaX6o_cg,Hotel Ankur Palace,"Plot No 4, Fateh Singh Market, opp. Rajputana Sheraton, near Railway Station, Gopalbari, Jaipur, Rajasthan 302006, India"
jai019,ChIJjbdFcVGxbTkRHpVdJUKRIYs,Jaipur View,"2177, Raja Shiv Das Ji Ka Rasta, Gangori Bazar, Brahampuri, Jaipur, Rajasthan 302001, India"
jai020,ChIJ5Z7eegy0bTkRi9zVvG_Uhc8,Barwara Kothi,"5, Jacob Rd, beside Indus-Ind Bank, Madrampur, Civil Lines, Jaipur, Rajasthan 302006, India"
jai021,ChIJ5w_4AfGzbTkRQtcJSYEZtVw,Umaid Bhawan-A Royal Heritage Style Boutique Hotel,"D1-2A, Via Bank Road, behind Collectorate, Meera Marg, Bani Park, Jaipur, Rajasthan 302016, India"
jai022,ChIJd9YlF-azbTkRL5TBZfM9fSk,Hotel Sarang Palace - Boutique Stays & Candlelight Dining,"A- 40, Subhash Nagar Rd, Near Peetal Factory, Subash Nagar, Shastri Nagar, Jaipur, Rajasthan 302016, India"
jai023,ChIJDXa4Q_KzbTkRxVGrrvNf9wI,Shahpura House,"D-257, Devi Marg, Bani Park, Jaipur, Rajasthan 302016, India"
jai024,ChIJDRQnopu1bTkRsaSwmKsD4o4,Jaipur Bungalow,"F-264, Priyadarshini Marg, Shyam Nagar, Jaipur, Rajasthan 302019, India"
