user_id,age_group,gender,home_city,home_state,income_bracket_inr,family_type,budget_min_inr,budget_max_inr,vegetarian_preference,business_travel_frequency,travel_frequency,location_preference,booking_advance_days,preferred_amenities,interaction_count
1,30-40,Male,Pune,Maharashtra,15L+,Family_with_kids,7500,18000,False,0.37,Regular,Transport_hub,1,"[""pool"", ""family_rooms"", ""parking""]",6
2,50-60,Male,Bangalore,Karnataka,25L+,Couple,9600,24000,False,0.1,Occasional,Transport_hub,2,"[""spa"", ""gym"", ""room_service""]",3
3,22-30,Male,Chennai,Tamil Nadu,3-6L,Solo,1500,4000,True,0.52,Regular,City_center,10,"[""free_wifi"", ""business_center"", ""airport_shuttle"", ""meeting_rooms""]",4
4,22-30,Male,Kolkata,West Bengal,3-6L,Couple,1800,4800,False,0.65,Occasional,City_center,7,"[""free_wifi"", ""business_center"", ""airport_shuttle"", ""meeting_rooms""]",3
5,22-30,Male,Chennai,Tamil Nadu,10-15L,Solo,3500,8000,False,0.19,Regular,City_center,35,"[""free_wifi"", ""restaurant"", ""parking""]",5
6,40-50,Male,Mumbai,Maharashtra,25L+,Family_with_kids,12000,30000,True,0.68,Occasional,City_center,4,"[""pool"", ""family_rooms"", ""parking""]",3
7,40-50,Male,Lucknow,Uttar Pradesh,15L+,Couple,6000,14400,True,0.4,Regular,City_center,1,"[""spa"", ""gym"", ""room_service""]",4
8,40-50,Female,Delhi,Delhi,15L+,Family_with_kids,7500,18000,False,0.54,Occasional,City_center,4,"[""pool"", ""family_rooms"", ""parking""]",3
9,40-50,Female,Chennai,Tamil Nadu,15L+,Family_with_kids,7500,18000,True,0.45,Regular,Transport_hub,8,"[""pool"", ""family_rooms"", ""parking""]",6
10,30-40,Male,Jaipur,Rajasthan,6-10L,Couple,3000,7200,False,0.03,Occasional,Transport_hub,15,"[""free_wifi"", ""restaurant"", ""parking""]",3
11,22-30,Male,Pune,Maharashtra,3-6L,Solo,1500,4000,False,0.04,Regular,Quiet_area,17,"[""free_wifi"", ""restaurant"", ""parking""]",6
12,22-30,Female,Delhi,Delhi,6-10L,Solo,2500,6000,False,0.43,Occasional,Quiet_area,20,"[""free_wifi"", ""restaurant"", ""parking""]",3
