review_id,hotel_id,user_id,review_text,overall_rating,review_date,reviewer_type,sentiment_score,cleanliness_rating,service_rating,location_rating,value_rating,positive_keywords,negative_keywords,cultural_mentions,review_length_category,language
1,208,184,Perfect location near transport. Food experience was amazing. Highly recommend for solo,3.9,2023-07-20,Family,0.45,3.7,3.8,3.7,4.0,"[""perfect""]",[],"[""Staff spoke Hindi""]",Short,en
2,342,4,Perfect location near transport. Food experience was amazing. Highly recommend for solo,3.8,2023-08-31,Family,0.4,3.7,3.8,3.5,3.6,"[""perfect""]",[],"[""Great vegetarian options""]",Short,en
3,126,8,Great room service and excellent service. Staff was very friendly. Understanding of Indian culture,4.1,2023-10-23,Solo,0.55,3.7,3.9,3.9,4.1,"[""great"", ""excellent""]",[],"[""Understanding of Indian culture""]",Short,en
4,181,111,Great WiFi and excellent service. Staff was very friendly. Understanding of Indian culture,3.5,2023-12-05,Family,0.25,3.1,3.8,3.6,3.0,"[""great"", ""excellent""]",[],"[""Understanding of Indian culture""]",Short,en
5,139,183,Great pool and excellent service. Staff was very friendly. Friendly staff,3.9,2023-03-15,Solo,0.45,4.1,4.0,3.9,4.0,"[""great"", ""excellent""]",[],"[""Friendly staff""]",Short,en
6,300,111,Comfortable rooms and great hospitality. Excellent Indian breakfast Perfect for couple travelers.,3.9,2023-02-11,Solo,0.45,4.0,3.5,4.0,3.5,"[""great"", ""excellent"", ""perfect"", ""comfortable""]",[],"[""Excellent Indian breakfast""]",Short,en
7,182,122,Comfortable rooms and great hospitality. Well-maintained property Perfect for solo travelers.,5.0,2023-05-08,Family,1.0,5.0,4.5,4.7,5.0,"[""great"", ""perfect"", ""comfortable""]",[],"[""Well-maintained property""]",Short,en
8,211,108,Perfect location near transport. Food experience was amazing. Highly recommend for family,4.0,2023-08-25,Solo,0.5,3.6,4.5,4.1,3.5,"[""perfect""]",[],"[""Well-maintained property""]",Short,en
9,266,196,Disappointing experience overall. Western-only breakfast Staff was not cooperative.,3.3,2023-08-24,Solo,0.15,3.1,3.7,3.5,3.3,[],"[""disappointing""]","[""Western-only breakfast""]",Short,en
10,139,15,Overpriced for the quality. Expected better for this price range. Western-only breakfast,3.0,2023-11-29,Business,0.0,2.5,2.7,2.8,2.6,[],"[""overpriced""]","[""Western-only breakfast""]",Short,en
11,200,135,Perfect location near transport. Food experience was amazing. Highly recommend for business,3.8,2023-09-20,Business,0.4,3.6,3.6,3.8,3.4,"[""perfect""]",[],"[""Understanding of Indian culture""]",Short,en
12,181,39,Overpriced for the quality. Expected better for this price range. Language barrier,3.4,2023-12-02,Solo,0.2,3.5,3.6,3.5,3.4,[],"[""overpriced""]","[""Language barrier""]",Short,en
13,82,188,room service was not working. Service issues throughout stay. Western-only breakfast,3.2,2023-04-29,Business,0.1,3.0,3.4,3.0,3.4,[],"[""not working""]","[""Western-only breakfast""]",Short,en
14,348,128,Disappointing experience overall. Staff not helpful Staff was not cooperative.,3.3,2023-09-01,Business,0.15,3.0,3.5,3.0,3.4,[],"[""disappointing""]","[""Staff not helpful""]",Short,en
15,314,16,Great AC and excellent service. Staff was very helpful. Clean and hygienic,4.5,2023-05-09,Family,0.75,4.3,4.2,4.6,4.6,"[""great"", ""excellent""]",[],"[""Clean and hygienic""]",Short,en
16,348,113,Overpriced for the quality. Expected better for this price range. Staff not helpful,3.2,2023-05-27,Business,0.1,3.1,3.3,3.3,2.7,[],"[""overpriced""]","[""Staff not helpful""]",Short,en
17,223,42,Great pool and excellent service. Staff was very helpful. Understanding of Indian culture,4.3,2023-09-28,Family,0.65,4.5,4.6,4.6,3.7,"[""great"", ""excellent""]",[],"[""Understanding of Indian culture""]",Short,en
18,299,23,Comfortable rooms and great hospitality. Great vegetarian options Perfect for family travelers.,3.5,2023-01-13,Solo,0.25,3.1,3.8,3.4,3.6,"[""great"", ""perfect"", ""comfortable""]",[],"[""Great vegetarian options""]",Short,en
19,105,25,Wonderful stay with excellent amenities. Staff spoke Hindi Will definitely visit again.,4.2,2023-01-18,Business,0.6,3.9,4.3,4.4,3.7,"[""excellent"", ""wonderful""]",[],"[""Staff spoke Hindi""]",Short,en
20,293,54,Comfortable rooms and great hospitality. Well-maintained property Perfect for business travelers.,5.0,2023-08-31,Family,1.0,4.9,5.0,4.9,5.0,"[""great"", ""perfect"", ""comfortable""]",[],"[""Well-maintained property""]",Short,en
21,265,33,Disappointing experience overall. No vegetarian restaurant Staff was not cooperative.,3.2,2023-06-02,Family,0.1,3.6,2.8,3.2,2.9,[],"[""disappointing""]","[""No vegetarian restaurant""]",Short,en
22,35,92,Great pool and excellent service. Staff was very courteous. Comfortable for Indian families,4.8,2023-03-22,Business,0.9,4.6,4.3,5.0,4.5,"[""great"", ""excellent"", ""comfortable""]",[],"[""Comfortable for Indian families""]",Short,en
23,57,229,Wonderful stay with excellent amenities. Excellent Indian breakfast Will definitely visit again.,4.3,2023-10-26,Business,0.65,4.1,4.1,4.4,3.8,"[""excellent"", ""wonderful""]",[],"[""Excellent Indian breakfast""]",Short,en
24,376,141,Perfect location near transport. Food experience was amazing. Highly recommend for solo,4.6,2023-06-18,Business,0.8,5.0,4.2,4.5,4.0,"[""perfect""]",[],"[""Understanding of Indian culture""]",Short,en
25,10,189,Disappointing experience overall. Western-only breakfast Staff was not cooperative.,3.3,2023-10-10,Solo,0.15,3.1,3.0,3.4,3.5,[],"[""disappointing""]","[""Western-only breakfast""]",Short,en
26,316,230,pool was not working. Service issues throughout stay. Staff not helpful,2.9,2023-07-08,Family,-0.05,3.1,3.3,2.7,2.4,[],"[""not working""]","[""Staff not helpful""]",Short,en
27,180,81,Great AC and excellent service. Staff was very professional. Clean and hygienic,3.7,2023-11-05,Family,0.35,3.8,4.0,3.9,3.7,"[""great"", ""excellent""]",[],"[""Clean and hygienic""]",Short,en
28,67,75,Comfortable rooms and great hospitality. Understanding of Indian culture Perfect for couple travelers.,4.5,2023-11-07,Business,0.75,4.5,4.2,4.4,4.0,"[""great"", ""perfect"", ""comfortable""]",[],"[""Understanding of Indian culture""]",Medium,en
29,164,69,Perfect location near transport. Food experience was amazing. Highly recommend for solo,3.8,2023-12-24,Family,0.4,3.7,3.7,3.9,3.5,"[""perfect""]",[],"[""Staff spoke Hindi""]",Short,en
30,267,216,Comfortable rooms and great hospitality. Comfortable for Indian families Perfect for solo travelers.,4.6,2023-04-29,Solo,0.8,4.5,4.8,4.7,4.9,"[""great"", ""perfect"", ""comfortable""]",[],"[""Comfortable for Indian families""]",Medium,en
31,63,54,Wonderful stay with excellent amenities. Excellent Indian breakfast Will definitely visit again.,4.4,2023-07-10,Solo,0.7,4.3,4.4,4.6,4.1,"[""excellent"", ""wonderful""]",[],"[""Excellent Indian breakfast""]",Short,en
32,19,37,Comfortable rooms and great hospitality. Staff spoke Hindi Perfect for couple travelers.,4.2,2023-05-01,Solo,0.6,3.8,3.9,4.1,3.5,"[""great"", ""perfect"", ""comfortable""]",[],"[""Staff spoke Hindi""]",Short,en
33,44,248,Great spa and excellent service. Staff was very attentive. Good value for money,4.0,2023-01-31,Business,0.5,4.0,4.3,3.8,3.7,"[""great"", ""excellent"", ""good""]",[],"[""Good value for money""]",Short,en
34,274,241,Poor maintenance and cleanliness. Poor hygiene standards Not recommended for solo,3.2,2023-08-26,Business,0.1,3.0,3.1,3.0,3.4,[],"[""poor""]","[""Poor hygiene standards""]",Short,en
35,394,146,Comfortable rooms and great hospitality. Comfortable for Indian families Perfect for couple travelers.,4.1,2023-09-23,Business,0.55,4.4,4.2,3.9,3.6,"[""great"", ""perfect"", ""comfortable""]",[],"[""Comfortable for Indian families""]",Medium,en
36,382,120,Poor maintenance and cleanliness. No vegetarian restaurant Not recommended for family,3.3,2023-05-02,Family,0.15,3.0,3.7,3.6,3.4,[],"[""poor""]","[""No vegetarian restaurant""]",Short,en
37,184,248,Poor maintenance and cleanliness. Not suitable for Indian families Not recommended for solo,3.3,2023-09-03,Solo,0.15,3.4,3.0,3.5,2.8,[],"[""poor""]","[""Not suitable for Indian families""]",Short,en
38,93,113,pool was not working. Service issues throughout stay. No vegetarian restaurant,3.4,2023-05-13,Business,0.2,3.8,3.7,3.7,2.8,[],"[""not working""]","[""No vegetarian restaurant""]",Short,en
39,32,59,Great gym and excellent service. Staff was very attentive. Good value for money,5.0,2024-01-01,Family,1.0,4.6,5.0,4.9,4.5,"[""great"", ""excellent"", ""good""]",[],"[""Good value for money""]",Short,en
40,58,114,Wonderful stay with excellent amenities. Understanding of Indian culture Will definitely visit again.,3.5,2023-09-19,Business,0.25,3.3,3.8,3.6,3.5,"[""excellent"", ""wonderful""]",[],"[""Understanding of Indian culture""]",Medium,en
41,293,84,Great WiFi and excellent service. Staff was very professional. Well-maintained property,5.0,2023-07-10,Business,1.0,5.0,4.9,4.9,5.0,"[""great"", ""excellent""]",[],"[""Well-maintained property""]",Short,en
42,299,97,Perfect location near transport. Food experience was amazing. Highly recommend for family,3.6,2023-01-17,Family,0.3,3.7,3.5,3.5,3.1,"[""perfect""]",[],"[""Well-maintained property""]",Short,en
43,271,32,Great AC and excellent service. Staff was very helpful. Staff spoke Hindi,4.5,2023-01-27,Family,0.75,4.9,4.6,4.4,4.0,"[""great"", ""excellent""]",[],"[""Staff spoke Hindi""]",Short,en
44,267,135,Great AC and excellent service. Staff was very courteous. Great vegetarian options,4.6,2023-08-14,Solo,0.8,4.1,5.0,4.6,4.6,"[""great"", ""excellent""]",[],"[""Great vegetarian options""]",Short,en
45,295,215,Perfect location near transport. Food experience was amazing. Highly recommend for couple,5.0,2023-05-31,Solo,1.0,5.0,5.0,4.8,4.7,"[""perfect""]",[],"[""Staff spoke Hindi""]",Short,en
46,210,226,Poor maintenance and cleanliness. Overpriced for Indian standards Not recommended for family,3.4,2023-07-05,Business,0.2,3.7,3.4,3.5,2.8,[],"[""poor"", ""overpriced""]","[""Overpriced for Indian standards""]",Short,en
47,40,130,Great room service and excellent service. Staff was very professional. Excellent Indian breakfast,3.7,2023-07-05,Business,0.35,3.8,3.6,3.5,3.8,"[""great"", ""excellent""]",[],"[""Excellent Indian breakfast""]",Short,en
48,259,108,Great pool and excellent service. Staff was very friendly. Understanding of Indian culture,4.8,2023-03-17,Solo,0.9,4.6,5.0,5.0,4.5,"[""great"", ""excellent""]",[],"[""Understanding of Indian culture""]",Short,en
49,365,142,Perfect location near transport. Food experience was amazing. Highly recommend for family,5.0,2023-08-29,Business,1.0,5.0,5.0,5.0,5.0,"[""perfect""]",[],"[""Excellent Indian breakfast""]",Short,en
50,56,158,Perfect location near transport. Food experience was amazing. Highly recommend for solo,4.3,2023-01-24,Family,0.65,4.5,4.6,4.5,3.8,"[""perfect""]",[],"[""Great vegetarian options""]",Short,en
51,87,58,Perfect location near transport. Food experience was amazing. Highly recommend for solo,3.9,2023-05-28,Business,0.45,3.5,3.8,3.6,3.6,"[""perfect""]",[],"[""Understanding of Indian culture""]",Short,en
52,387,131,Comfortable rooms and great hospitality. Great vegetarian options Perfect for solo travelers.,4.1,2023-03-28,Business,0.55,4.2,4.4,3.9,3.9,"[""great"", ""perfect"", ""comfortable""]",[],"[""Great vegetarian options""]",Short,en
53,219,147,Perfect location near transport. Food experience was amazing. Highly recommend for business,4.2,2023-08-16,Solo,0.6,4.2,3.9,4.0,4.1,"[""perfect""]",[],"[""Clean and hygienic""]",Short,en
54,71,23,Perfect location near transport. Food experience was amazing. Highly recommend for family,5.0,2023-05-23,Solo,1.0,5.0,5.0,5.0,5.0,"[""perfect""]",[],"[""Friendly staff""]",Short,en
55,135,177,Comfortable rooms and great hospitality. Comfortable for Indian families Perfect for solo travelers.,4.0,2023-11-11,Business,0.5,4.0,3.8,4.2,3.4,"[""great"", ""perfect"", ""comfortable""]",[],"[""Comfortable for Indian families""]",Medium,en
56,58,57,Perfect location near transport. Food experience was amazing. Highly recommend for business,3.8,2023-05-28,Family,0.4,3.9,4.1,3.7,4.1,"[""perfect""]",[],"[""Understanding of Indian culture""]",Short,en
57,127,84,Perfect location near transport. Food experience was amazing. Highly recommend for solo,4.1,2023-12-06,Family,0.55,3.7,3.8,4.3,4.4,"[""perfect""]",[],"[""Understanding of Indian culture""]",Short,en
