review_id,hotel_id,user_id,review_text,overall_rating,review_date,reviewer_type,sentiment_score,cleanliness_rating,service_rating,location_rating,value_rating,language,positive_keywords,negative_keywords,cultural_mentions,review_length_category
1,57,1,Family-friendly staff and excellent pool. Will return with family. Great for business travelers The pav bhaji was particularly excellent.,4.6,2023-03-24,Family,0.8,4.4,4.3,4.6,4.2,en,"[""excellent"", ""great""]",[],"[""Great for business travelers""]",Short
2,228,1,Great for families - 24 7 front desk was perfect. Safe and comfortable environment. Authentic Maharashtrian thali available,5.0,2023-07-06,Family,1.0,5.0,4.9,4.9,5.0,en,"[""great"", ""perfect""]",[],"[""Authentic Maharashtrian thali available""]",Short
3,139,4,Unproductive stay due to faulty parking. Staff not helpful for business needs. Not suitable for vegetarian guests They didn't even have proper butter chicken.,3.0,2023-08-29,Business,0.0,2.8,3.1,2.8,2.4,en,[],[],"[""Not suitable for vegetarian guests""]",Medium
4,188,4,Productive stay with reliable 24 7 front desk. Staff understood business needs. Efficient service like Mumbai The vada pav was particularly excellent.,3.7,2023-06-13,Business,0.35,4.1,3.2,3.9,3.4,en,"[""excellent""]",[],"[""Efficient service like Mumbai""]",Medium
5,104,6,"Poor business facilities, restaurant not working properly. Unprofessional service. Language communication issues with staff They didn't even have proper butter chicken.",1.0,2023-09-04,Business,-1.0,1.0,1.4,1.2,1.1,en,[],"[""poor""]","[""Language communication issues with staff""]",Medium
6,109,6,Disappointing for business travel - parking was inadequate. Location inconvenient. Limited South Indian options in breakfast They didn't even have proper sambar.,2.5,2023-12-23,Business,-0.25,2.3,2.0,2.3,2.4,en,[],"[""disappointing"", ""inadequate""]","[""Limited South Indian options in breakfast""]",Medium
7,15,7,Romantic getaway with excellent air conditioning. Perfect for couples. Rajasthani hospitality at its best,5.0,2023-12-12,Couple,1.0,5.0,4.9,5.0,5.0,en,"[""excellent"", ""perfect""]",[],"[""Rajasthani hospitality at its best""]",Short
8,176,7,Beautiful ambiance and wonderful spa. Great couple experience. Staff spoke fluent Hindi The punjabi was particularly excellent.,5.0,2023-01-19,Couple,1.0,5.0,5.0,4.9,4.7,en,"[""excellent"", ""great"", ""wonderful""]",[],"[""Staff spoke fluent Hindi""]",Short
9,375,9,Family-friendly staff and excellent free wifi. Will return with family. Excellent Gujarati/Marathi food options,5.0,2023-08-07,Family,1.0,5.0,5.0,5.0,4.6,en,"[""excellent""]",[],"[""Excellent Gujarati/Marathi food options""]",Short
10,198,9,Wonderful family experience with spa. Kids loved the facilities. Excellent Gujarati/Marathi food options,5.0,2023-03-25,Family,1.0,4.7,5.0,5.0,5.0,en,"[""excellent"", ""wonderful""]",[],"[""Excellent Gujarati/Marathi food options""]",Short
11,264,9,Wonderful family experience with free wifi. Kids loved the facilities. Staff spoke fluent Hindi The butter chicken was particularly excellent.,5.0,2023-12-04,Family,1.0,5.0,5.0,5.0,4.9,en,"[""excellent"", ""wonderful""]",[],"[""Staff spoke fluent Hindi""]",Medium
12,332,9,Wonderful family experience with gym. Kids loved the facilities. Excellent vegetarian thali available,5.0,2023-02-23,Family,1.0,5.0,4.9,5.0,4.5,en,"[""excellent"", ""wonderful""]",[],"[""Excellent vegetarian thali available""]",Short
13,205,10,Beautiful ambiance and wonderful free wifi. Great couple experience. Authentic Maharashtrian thali available The gujarati was particularly excellent.,4.2,2023-07-15,Couple,0.6,4.1,4.4,4.3,3.7,en,"[""excellent"", ""great"", ""wonderful""]",[],"[""Authentic Maharashtrian thali available""]",Short
14,171,13,Relaxing stay with beautiful parking. Peaceful atmosphere. Great for business travelers The pav bhaji was particularly excellent.,5.0,2023-03-08,Leisure,1.0,5.0,4.9,5.0,4.8,en,"[""excellent"", ""great""]",[],"[""Great for business travelers""]",Short
15,356,13,Perfect vacation spot with amazing air conditioning. Great value for money. Traditional North Indian welcome with garland,4.6,2023-05-14,Leisure,0.8,4.4,4.7,4.6,4.7,en,"[""great"", ""perfect"", ""amazing""]",[],"[""Traditional North Indian welcome with garland""]",Short
16,195,14,Family-friendly staff and excellent pool. Will return with family. Authentic Chettinad cuisine experience The hyderabadi was particularly excellent.,5.0,2023-07-12,Family,1.0,5.0,5.0,4.9,4.8,en,"[""excellent""]",[],"[""Authentic Chettinad cuisine experience""]",Short
17,135,14,Wonderful family experience with pool. Kids loved the facilities. Business-friendly atmosphere,4.8,2023-03-24,Family,0.9,4.5,4.8,4.6,4.5,en,"[""wonderful""]",[],"[""Business-friendly atmosphere""]",Short
18,174,14,Family-friendly staff and excellent room service. Will return with family. Authentic Maharashtrian thali available,5.0,2023-12-04,Family,1.0,5.0,5.0,5.0,4.6,en,"[""excellent""]",[],"[""Authentic Maharashtrian thali available""]",Short
19,379,15,Intimate setting with amazing parking. Highly recommend for couples. Authentic Punjabi cuisine,5.0,2023-04-21,Couple,1.0,5.0,5.0,5.0,5.0,en,"[""amazing""]",[],"[""Authentic Punjabi cuisine""]",Short
20,186,16,Family-friendly staff and excellent air conditioning. Will return with family. Traditional South Indian welcome The chettinad was particularly excellent.,5.0,2023-04-16,Family,1.0,4.6,5.0,4.9,4.7,en,"[""excellent""]",[],"[""Traditional South Indian welcome""]",Short
21,107,19,Enjoyable stay with wonderful room service. Exceeded expectations. Efficient service like Mumbai The pav bhaji was particularly excellent.,5.0,2023-11-08,Leisure,1.0,4.8,4.6,5.0,4.8,en,"[""excellent"", ""wonderful""]",[],"[""Efficient service like Mumbai""]",Short
22,107,19,Perfect vacation spot with amazing room service. Great value for money. Excellent Gujarati/Marathi food options,5.0,2023-06-13,Leisure,1.0,4.8,5.0,5.0,4.6,en,"[""excellent"", ""great"", ""perfect"", ""amazing""]",[],"[""Excellent Gujarati/Marathi food options""]",Short
23,203,19,Beautiful ambiance and wonderful air conditioning. Great couple experience. Excellent Gujarati/Marathi food options,5.0,2023-09-13,Couple,1.0,5.0,5.0,5.0,4.3,en,"[""excellent"", ""great"", ""wonderful""]",[],"[""Excellent Gujarati/Marathi food options""]",Short
24,107,19,Beautiful ambiance and wonderful air conditioning. Great couple experience. Excellent Gujarati/Marathi food options The dhokla was particularly excellent.,5.0,2023-08-04,Couple,1.0,5.0,5.0,5.0,5.0,en,"[""excellent"", ""great"", ""wonderful""]",[],"[""Excellent Gujarati/Marathi food options""]",Short
25,26,20,Productive stay with reliable free wifi. Staff understood business needs. Excellent Gujarati/Marathi food options The pav bhaji was particularly excellent.,4.9,2023-06-04,Business,0.95,4.5,5.0,5.0,4.7,en,"[""excellent""]",[],"[""Excellent Gujarati/Marathi food options""]",Medium
26,229,20,Excellent business facilities and air conditioning. Professional service throughout. Excellent vegetarian thali available,4.6,2023-07-24,Business,0.8,4.9,4.2,4.8,4.3,en,"[""excellent""]",[],"[""Excellent vegetarian thali available""]",Short
27,63,22,Disappointing stay with substandard free wifi. Will not recommend. Service not up to Western India expectations They didn't even have proper vada pav.,2.8,2023-07-14,Leisure,-0.1,3.2,2.6,2.8,2.7,en,[],"[""disappointing"", ""substandard""]","[""Service not up to Western India expectations""]",Medium
28,102,23,Overpriced for quality - restaurant not worth it. Poor maintenance. No regional cuisine options available They didn't even have proper rajasthani.,2.9,2023-03-17,Leisure,-0.05,2.8,3.1,3.0,2.9,en,[],"[""poor""]","[""No regional cuisine options available""]",Medium
29,21,24,Perfect for business travel with great pool. Location is convenient. Rajasthani hospitality at its best The punjabi was particularly excellent.,4.2,2023-04-21,Business,0.6,4.2,4.6,4.4,4.4,en,"[""excellent"", ""great"", ""perfect""]",[],"[""Rajasthani hospitality at its best""]",Medium
30,313,25,Relaxing stay with beautiful room service. Peaceful atmosphere. Business-friendly atmosphere The pav bhaji was particularly excellent.,5.0,2023-07-24,Leisure,1.0,4.7,4.9,4.7,4.9,en,"[""excellent""]",[],"[""Business-friendly atmosphere""]",Short
31,313,26,Family-friendly staff and excellent restaurant. Will return with family. Business-friendly atmosphere The pav bhaji was particularly excellent.,5.0,2023-10-23,Family,1.0,5.0,4.7,4.8,5.0,en,"[""excellent""]",[],"[""Business-friendly atmosphere""]",Short
32,312,28,Wonderful family experience with free wifi. Kids loved the facilities. Excellent Gujarati/Marathi food options,4.3,2023-07-27,Family,0.65,4.0,4.7,4.6,4.3,en,"[""excellent"", ""wonderful""]",[],"[""Excellent Gujarati/Marathi food options""]",Short
33,356,29,Enjoyable stay with wonderful free wifi. Exceeded expectations. Excellent vegetarian thali available The tandoor was particularly excellent.,3.9,2023-12-19,Leisure,0.45,3.7,4.3,3.9,3.3,en,"[""excellent"", ""wonderful""]",[],"[""Excellent vegetarian thali available""]",Short
34,368,29,Relaxing stay with beautiful free wifi. Peaceful atmosphere. Authentic Maharashtrian thali available The gujarati was particularly excellent.,3.6,2023-12-15,Leisure,0.3,3.2,3.8,3.6,3.5,en,"[""excellent""]",[],"[""Authentic Maharashtrian thali available""]",Short
35,289,29,Relaxing stay with beautiful air conditioning. Peaceful atmosphere. Authentic Chettinad cuisine experience The idli was particularly excellent.,5.0,2023-06-20,Leisure,1.0,5.0,4.6,4.8,5.0,en,"[""excellent""]",[],"[""Authentic Chettinad cuisine experience""]",Short
36,223,30,Enjoyable stay with wonderful 24 7 front desk. Exceeded expectations. Authentic Punjabi cuisine,3.6,2023-04-27,Leisure,0.3,3.2,3.2,3.8,3.6,en,"[""wonderful""]",[],"[""Authentic Punjabi cuisine""]",Short
37,385,31,Not suitable for families - free wifi was broken. Safety concerns. Not suitable for business travelers They didn't even have proper dhokla.,2.1,2023-02-21,Family,-0.45,2.5,1.6,2.2,1.4,en,[],[],"[""Not suitable for business travelers""]",Medium
38,18,32,Beautiful ambiance and wonderful spa. Great couple experience. Excellent Gujarati/Marathi food options,5.0,2023-11-02,Couple,1.0,5.0,4.7,4.9,4.5,en,"[""excellent"", ""great"", ""wonderful""]",[],"[""Excellent Gujarati/Marathi food options""]",Short
39,304,33,Great for families - restaurant was perfect. Safe and comfortable environment. Cultural sensitivity appreciated The fish curry was particularly excellent.,5.0,2023-04-08,Family,1.0,4.7,5.0,5.0,4.6,en,"[""excellent"", ""great"", ""perfect""]",[],"[""Cultural sensitivity appreciated""]",Medium
40,103,33,Family-friendly staff and excellent air conditioning. Will return with family. Comfortable for vegetarian families,5.0,2023-06-27,Family,1.0,4.8,4.6,4.9,5.0,en,"[""excellent""]",[],"[""Comfortable for vegetarian families""]",Short
41,178,34,Intimate setting with amazing parking. Highly recommend for couples. Efficient service like Mumbai,5.0,2023-05-29,Couple,1.0,5.0,4.8,4.8,4.9,en,"[""amazing""]",[],"[""Efficient service like Mumbai""]",Short
42,146,34,Romantic getaway with excellent restaurant. Perfect for couples. Comfortable for vegetarian families,4.3,2023-06-05,Couple,0.65,4.2,4.8,4.4,4.4,en,"[""excellent"", ""perfect""]",[],"[""Comfortable for vegetarian families""]",Short
43,302,36,Intimate setting with amazing spa. Highly recommend for couples. Great South Indian breakfast with fresh filter coffee,5.0,2023-07-12,Couple,1.0,4.7,5.0,5.0,4.4,en,"[""great"", ""amazing""]",[],"[""Great South Indian breakfast with fresh filter coffee""]",Short
44,77,36,Beautiful ambiance and wonderful free wifi. Great couple experience. Excellent vegetarian thali available The tandoor was particularly excellent.,4.7,2023-02-19,Couple,0.85,4.3,4.5,4.7,4.4,en,"[""excellent"", ""great"", ""wonderful""]",[],"[""Excellent vegetarian thali available""]",Short
45,258,37,Beautiful ambiance and wonderful room service. Great couple experience. Traditional South Indian welcome,4.3,2023-11-11,Couple,0.65,3.9,4.6,4.2,3.7,en,"[""great"", ""wonderful""]",[],"[""Traditional South Indian welcome""]",Short
46,107,38,Relaxing stay with beautiful free wifi. Peaceful atmosphere. Excellent Gujarati/Marathi food options,5.0,2023-09-23,Leisure,1.0,5.0,4.9,4.9,4.5,en,"[""excellent""]",[],"[""Excellent Gujarati/Marathi food options""]",Short
47,313,38,Beautiful ambiance and wonderful 24 7 front desk. Great couple experience. Business-friendly atmosphere The marathi was particularly excellent.,5.0,2023-03-11,Couple,1.0,4.6,5.0,5.0,4.7,en,"[""excellent"", ""great"", ""wonderful""]",[],"[""Business-friendly atmosphere""]",Short
48,233,39,Family-friendly staff and excellent free wifi. Will return with family. Authentic Punjabi cuisine The butter chicken was particularly excellent.,5.0,2023-11-06,Family,1.0,5.0,5.0,5.0,4.4,en,"[""excellent""]",[],"[""Authentic Punjabi cuisine""]",Short
49,83,39,Great for families - 24 7 front desk was perfect. Safe and comfortable environment. Excellent Gujarati/Marathi food options,4.6,2023-07-20,Family,0.8,4.8,4.7,4.4,4.6,en,"[""excellent"", ""great"", ""perfect""]",[],"[""Excellent Gujarati/Marathi food options""]",Short
50,268,40,Romantic getaway with excellent free wifi. Perfect for couples. Bengali sweets available in restaurant The mishti doi was particularly excellent.,5.0,2023-05-29,Couple,1.0,5.0,4.9,5.0,5.0,en,"[""excellent"", ""perfect""]",[],"[""Bengali sweets available in restaurant""]",Medium
51,286,42,Beautiful ambiance and wonderful gym. Great couple experience. Traditional South Indian welcome,5.0,2023-03-13,Couple,1.0,4.9,5.0,5.0,4.6,en,"[""great"", ""wonderful""]",[],"[""Traditional South Indian welcome""]",Short
52,103,42,Romantic getaway with excellent room service. Perfect for couples. Traditional South Indian welcome The dosa was particularly excellent.,5.0,2023-07-21,Couple,1.0,4.6,5.0,5.0,4.3,en,"[""excellent"", ""perfect""]",[],"[""Traditional South Indian welcome""]",Short
53,158,42,Romantic getaway with excellent air conditioning. Perfect for couples. Authentic Maharashtrian thali available The dhokla was particularly excellent.,5.0,2023-07-12,Couple,1.0,4.5,5.0,5.0,4.9,en,"[""excellent"", ""perfect""]",[],"[""Authentic Maharashtrian thali available""]",Short
54,229,43,Beautiful ambiance and wonderful parking. Great couple experience. Excellent vegetarian thali available The tandoor was particularly excellent.,5.0,2023-09-13,Couple,1.0,5.0,5.0,5.0,5.0,en,"[""excellent"", ""great"", ""wonderful""]",[],"[""Excellent vegetarian thali available""]",Short
55,358,44,Productive stay with reliable parking. Staff understood business needs. Great for business travelers The marathi was particularly excellent.,3.6,2023-06-14,Business,0.3,3.1,3.8,3.9,3.6,en,"[""excellent"", ""great""]",[],"[""Great for business travelers""]",Short
56,140,44,Perfect for business travel with great air conditioning. Location is convenient. Staff spoke fluent Hindi The tandoor was particularly excellent.,5.0,2023-12-14,Business,1.0,5.0,4.7,5.0,4.5,en,"[""excellent"", ""great"", ""perfect""]",[],"[""Staff spoke fluent Hindi""]",Medium
57,303,45,Relaxing stay with beautiful free wifi. Peaceful atmosphere. Efficient service like Mumbai The marathi was particularly excellent.,4.8,2023-11-25,Leisure,0.9,5.0,4.8,4.6,4.5,en,"[""excellent""]",[],"[""Efficient service like Mumbai""]",Short
58,255,45,Relaxing stay with beautiful room service. Peaceful atmosphere. Business-friendly atmosphere The gujarati was particularly excellent.,4.9,2023-04-17,Leisure,0.95,4.6,4.9,4.9,4.6,en,"[""excellent""]",[],"[""Business-friendly atmosphere""]",Short
59,43,45,Perfect vacation spot with amazing gym. Great value for money. Beautiful temple architecture influence The dosa was particularly excellent.,5.0,2023-09-14,Leisure,1.0,4.7,5.0,4.9,5.0,en,"[""excellent"", ""great"", ""perfect"", ""amazing""]",[],"[""Beautiful temple architecture influence""]",Short
60,341,46,Wonderful family experience with pool. Kids loved the facilities. Excellent Gujarati/Marathi food options,5.0,2023-09-14,Family,1.0,5.0,4.9,4.9,4.7,en,"[""excellent"", ""wonderful""]",[],"[""Excellent Gujarati/Marathi food options""]",Short
61,129,47,Poor experience for couples - free wifi was disappointing. Not romantic at all. Cultural context missing They didn't even have proper marathi.,3.1,2023-05-14,Couple,0.05,2.8,2.7,3.3,2.4,en,[],"[""poor"", ""disappointing""]","[""Cultural context missing""]",Medium
62,30,47,Beautiful ambiance and wonderful gym. Great couple experience. Great for business travelers The pav bhaji was particularly excellent.,5.0,2023-03-13,Couple,1.0,5.0,5.0,4.7,4.4,en,"[""excellent"", ""great"", ""wonderful""]",[],"[""Great for business travelers""]",Short
63,267,48,Wonderful family experience with free wifi. Kids loved the facilities. Authentic Chettinad cuisine experience The hyderabadi was particularly excellent.,5.0,2023-08-02,Family,1.0,5.0,5.0,4.7,5.0,en,"[""excellent"", ""wonderful""]",[],"[""Authentic Chettinad cuisine experience""]",Short
64,181,48,Great for families - 24 7 front desk was perfect. Safe and comfortable environment. Beautiful temple architecture influence,5.0,2023-02-11,Family,1.0,5.0,5.0,5.0,5.0,en,"[""great"", ""perfect""]",[],"[""Beautiful temple architecture influence""]",Short
65,85,48,Family-friendly staff and excellent pool. Will return with family. Traditional South Indian welcome The sambar was particularly excellent.,4.3,2023-04-11,Family,0.65,4.0,4.8,4.0,4.4,en,"[""excellent""]",[],"[""Traditional South Indian welcome""]",Short
66,331,49,Wonderful family experience with 24 7 front desk. Kids loved the facilities. Authentic Maharashtrian thali available,5.0,2023-07-08,Family,1.0,4.5,5.0,5.0,4.9,en,"[""wonderful""]",[],"[""Authentic Maharashtrian thali available""]",Short
67,16,49,Great for families - gym was perfect. Safe and comfortable environment. Excellent tea selection from Assam and Darjeeling The bengali was particularly excellent.,5.0,2023-11-05,Family,1.0,5.0,5.0,4.8,4.9,en,"[""excellent"", ""great"", ""perfect""]",[],"[""Excellent tea selection from Assam and Darjeeling""]",Medium
68,331,50,Beautiful ambiance and wonderful restaurant. Great couple experience. Authentic Maharashtrian thali available The pav bhaji was particularly excellent.,4.2,2023-05-17,Couple,0.6,3.8,4.6,4.5,3.6,en,"[""excellent"", ""great"", ""wonderful""]",[],"[""Authentic Maharashtrian thali available""]",Short
69,240,51,Disappointing for business travel - 24 7 front desk was inadequate. Location inconvenient. No Gujarati/Marathi food options,1.0,2023-10-11,Business,-1.0,1.0,1.0,1.0,1.0,en,[],"[""disappointing"", ""inadequate""]","[""No Gujarati/Marathi food options""]",Short
70,136,51,"Poor business facilities, air conditioning not working properly. Unprofessional service. No authentic filter coffee available",1.0,2023-03-14,Business,-1.0,1.1,1.1,1.2,1.3,en,[],"[""poor""]","[""No authentic filter coffee available""]",Short
71,183,54,Perfect for business travel with great spa. Location is convenient. Business-friendly atmosphere The pav bhaji was particularly excellent.,4.4,2023-02-10,Business,0.7,4.1,4.3,4.7,4.4,en,"[""excellent"", ""great"", ""perfect""]",[],"[""Business-friendly atmosphere""]",Short
72,271,54,Excellent business facilities and room service. Professional service throughout. Great for business travelers The gujarati was particularly excellent.,5.0,2023-10-10,Business,1.0,5.0,5.0,4.8,4.4,en,"[""excellent"", ""great""]",[],"[""Great for business travelers""]",Short
