user_id,age_group,gender,home_city,income_bracket_inr,family_type,budget_min_inr,budget_max_inr,vegetarian_preference,home_state,travel_frequency,business_travel_frequency,preferred_amenities,location_preference,booking_advance_days
1,25-35,Female,Kolkata,8-15L,Couple,3152,5176,False,West Bengal,Occasional,0.42,"[""spa_available"", ""restaurant"", ""room_service""]",Transport_hub,12
2,25-35,Female,Mumbai,15L+,Couple,7103,14412,True,Maharashtra,Regular,0.53,"[""spa_available"", ""restaurant"", ""room_service""]",Transport_hub,10
3,25-35,Female,Kolkata,8-15L,Solo,3299,9489,True,West Bengal,Occasional,0.13,"[""wifi_available"", ""business_center"", ""gym_available""]",Quiet_area,28
4,25-35,Female,Delhi,8-15L,Couple,2721,7490,True,Delhi,Occasional,0.58,"[""spa_available"", ""restaurant"", ""room_service""]",Transport_hub,23
5,35-45,Male,Mumbai,4-8L,Couple,2488,4192,True,Maharashtra,Occasional,0.22,"[""spa_available"", ""restaurant"", ""room_service""]",Quiet_area,7
6,35-45,Male,Mumbai,8-15L,Couple,2537,7967,True,Maharashtra,Occasional,0.38,"[""spa_available"", ""restaurant"", ""room_service""]",Transport_hub,22
7,35-45,Male,Mumbai,4-8L,Family_with_kids,1844,3230,False,Maharashtra,Frequent,0.97,"[""pool_available"", ""family_rooms"", ""parking_available""]",City_center,2
8,45-55,Female,Delhi,4-8L,Couple,1740,5111,False,Delhi,Occasional,0.97,"[""spa_available"", ""restaurant"", ""room_service""]",Quiet_area,24
9,25-35,Male,Delhi,4-8L,Family_with_kids,2327,4003,True,Delhi,Occasional,0.24,"[""pool_available"", ""family_rooms"", ""parking_available""]",Transport_hub,10
10,35-45,Female,Delhi,8-15L,Couple,4941,6413,True,Delhi,Occasional,0.78,"[""spa_available"", ""restaurant"", ""room_service""]",Quiet_area,13
11,45-55,Female,Chennai,15L+,Family_with_kids,5127,18360,False,Tamil Nadu,Regular,0.01,"[""pool_available"", ""family_rooms"", ""parking_available""]",City_center,3
12,45-55,Male,Mumbai,4-8L,Solo,1749,5003,True,Maharashtra,Occasional,0.59,"[""wifi_available"", ""business_center"", ""gym_available""]",Quiet_area,16
13,25-35,Male,Delhi,8-15L,Couple,3621,5774,False,Delhi,Occasional,0.48,"[""spa_available"", ""restaurant"", ""room_service""]",Quiet_area,23
14,35-45,Male,Mumbai,8-15L,Solo,4276,7444,True,Maharashtra,Frequent,0.33,"[""wifi_available"", ""business_center"", ""gym_available""]",Quiet_area,30
15,35-45,Female,Mumbai,4-8L,Family_with_kids,2600,3757,True,Maharashtra,Regular,0.39,"[""pool_available"", ""family_rooms"", ""parking_available""]",Quiet_area,26
16,35-45,Male,Chennai,4-8L,Couple,2585,5001,True,Tamil Nadu,Occasional,0.75,"[""spa_available"", ""restaurant"", ""room_service""]",City_center,22
17,45-55,Male,Bangalore,4-8L,Solo,1740,3740,True,Karnataka,Occasional,0.55,"[""wifi_available"", ""business_center"", ""gym_available""]",Transport_hub,4
18,25-35,Male,Chennai,8-15L,Family_with_kids,2660,6055,True,Tamil Nadu,Occasional,0.09,"[""pool_available"", ""family_rooms"", ""parking_available""]",Transport_hub,28
19,25-35,Male,Chennai,8-15L,Couple,2643,5693,False,Tamil Nadu,Regular,0.36,"[""spa_available"", ""restaurant"", ""room_service""]",Quiet_area,6
20,35-45,Male,Bangalore,8-15L,Solo,4232,5000,False,Karnataka,Occasional,0.05,"[""wifi_available"", ""business_center"", ""gym_available""]",Quiet_area,29
21,25-35,Female,Bangalore,4-8L,Couple,2100,5699,True,Karnataka,Frequent,0.58,"[""spa_available"", ""restaurant"", ""room_service""]",Quiet_area,11
22,25-35,Male,Delhi,8-15L,Solo,4640,7884,True,Delhi,Occasional,0.66,"[""wifi_available"", ""business_center"", ""gym_available""]",City_center,8
23,25-35,Male,Mumbai,15L+,Family_with_kids,4150,11081,False,Maharashtra,Regular,0.86,"[""pool_available"", ""family_rooms"", ""parking_available""]",City_center,5
24,45-55,Male,Chennai,4-8L,Family_with_kids,2733,5261,False,Tamil Nadu,Regular,0.28,"[""pool_available"", ""family_rooms"", ""parking_available""]",Quiet_area,20
25,45-55,Female,Kolkata,4-8L,Solo,2364,3304,False,West Bengal,Occasional,0.38,"[""wifi_available"", ""business_center"", ""gym_available""]",City_center,13
